B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 1
S00, Trade, 490.325, 328, S00, B11, 1
S00, Trade, 544.975, 324, B17, S00, 1
S01, 3
S01, Trade, 60.275, 313, S01, B13, 1
S01, Trade, 421.925, 341, B15, S01, 1
S01, Trade, 541.125, 329, B16, S01, 1
S02, 9
S02, Trade, 70.125, 310, S02, B06, 1
S02, Trade, 124.600, 328, S02, B08, 1
S02, Trade, 180.825, 330, S02, B12, 1
S02, Trade, 245.400, 319, S02, B14, 1
S02, Trade, 304.950, 310, S02, B10, 1
S02, Trade, 361.100, 332, S02, B12, 1
S02, Trade, 422.450, 353, S02, B18, 1
S02, Trade, 481.075, 316, S02, B14, 1
S02, Trade, 544.750, 324, S02, B08, 1
S03, 2
S03, Trade, 182.375, 324, B13, S03, 1
S03, Trade, 244.400, 317, B17, S03, 1
S04, 9
S04, Trade, 81.900, 310, S04, B08, 1
S04, Trade, 128.350, 312, S04, B11, 1
S04, Trade, 182.025, 325, S04, B10, 1
S04, Trade, 240.650, 365, B19, S04, 1
S04, Trade, 304.550, 310, S04, B16, 1
S04, Trade, 365.225, 310, S04, B09, 1
S04, Trade, 423.550, 344, S04, B11, 1
S04, Trade, 481.650, 312, S04, B15, 1
S04, Trade, 544.175, 323, S04, B15, 1
S05, 4
S05, Trade, 129.600, 351, S05, B18, 1
S05, Trade, 308.450, 332, S05, B08, 1
S05, Trade, 370.375, 314, B15, S05, 1
S05, Trade, 493.700, 313, B13, S05, 1
S06, 9
S06, Trade, 62.925, 330, S06, B14, 1
S06, Trade, 123.225, 331, S06, B16, 1
S06, Trade, 180.575, 332, S06, B14, 1
S06, Trade, 243.850, 320, S06, B15, 1
S06, Trade, 307.825, 310, S06, B19, 1
S06, Trade, 364.700, 310, B16, S06, 1
S06, Trade, 425.075, 339, S06, B14, 1
S06, Trade, 482.075, 313, S06, B16, 1
S06, Trade, 541.475, 389, S06, B18, 1
S07, 9
S07, Trade, 62.150, 333, S07, B18, 1
S07, Trade, 123.750, 329, B17, S07, 1
S07, Trade, 189.425, 312, S07, B08, 1
S07, Trade, 245.200, 318, S07, B13, 1
S07, Trade, 304.000, 310, S07, B15, 1
S07, Trade, 362.450, 324, S07, B14, 1
S07, Trade, 429.975, 316, S07, B06, 1
S07, Trade, 485.100, 310, S07, B06, 1
S07, Trade, 542.150, 327, S07, B19, 1
S08, 9
S08, Trade, 64.525, 319, S08, B11, 1
S08, Trade, 123.375, 330, B07, S08, 1
S08, Trade, 181.075, 330, S08, B18, 1
S08, Trade, 243.800, 319, S08, B09, 1
S08, Trade, 305.875, 310, S08, B13, 1
S08, Trade, 362.875, 321, S08, B08, 1
S08, Trade, 425.000, 338, B08, S08, 1
S08, Trade, 484.225, 310, S08, B12, 1
S08, Trade, 548.375, 323, S08, B06, 1
S09, 8
S09, Trade, 63.625, 324, B17, S09, 1
S09, Trade, 126.200, 323, S09, B19, 1
S09, Trade, 185.725, 323, B06, S09, 1
S09, Trade, 242.875, 322, S09, B10, 1
S09, Trade, 303.425, 310, S09, B14, 1
S09, Trade, 364.000, 315, S09, B19, 1
S09, Trade, 481.750, 314, S09, B18, 1
S09, Trade, 541.750, 330, B07, S09, 1
S10, 6
S10, Trade, 61.725, 323, B16, S10, 1
S10, Trade, 184.425, 323, B16, S10, 1
S10, Trade, 312.525, 314, S10, B18, 1
S10, Trade, 372.825, 316, S10, B06, 1
S10, Trade, 424.600, 338, B07, S10, 1
S10, Trade, 496.175, 311, S10, B08, 1
S11, 5
S11, Trade, 181.600, 323, B09, S11, 1
S11, Trade, 249.900, 325, S11, B11, 1
S11, Trade, 375.075, 315, B07, S11, 1
S11, Trade, 421.050, 348, B19, S11, 1
S11, Trade, 545.650, 316, B13, S11, 1
S12, 9
S12, Trade, 70.700, 310, S12, B12, 1
S12, Trade, 123.000, 330, S12, B14, 1
S12, Trade, 183.525, 325, B15, S12, 1
S12, Trade, 249.250, 310, S12, B12, 1
S12, Trade, 305.025, 310, S12, B07, 1
S12, Trade, 365.400, 310, S12, B13, 1
S12, Trade, 430.500, 318, S12, B12, 1
S12, Trade, 482.975, 314, S12, B17, 1
S12, Trade, 543.650, 325, S12, B14, 1
S13, 9
S13, Trade, 69.425, 310, S13, B10, 1
S13, Trade, 125.300, 325, B15, S13, 1
S13, Trade, 180.325, 333, S13, B11, 1
S13, Trade, 243.250, 318, B16, S13, 1
S13, Trade, 303.400, 310, S13, B17, 1
S13, Trade, 363.525, 315, S13, B18, 1
S13, Trade, 423.000, 346, S13, B10, 1
S13, Trade, 482.450, 313, B07, S13, 1
S13, Trade, 544.350, 324, S13, B09, 1
S14, 2
S14, Trade, 162.150, 311, S14, B06, 1
S14, Trade, 184.375, 324, B07, S14, 1
S15, 3
S15, Trade, 125.625, 310, S15, B12, 1
S15, Trade, 252.100, 319, S15, B08, 1
S15, Trade, 421.875, 342, B17, S15, 1
S16, 8
S16, Trade, 64.875, 316, B09, S16, 1
S16, Trade, 124.300, 329, S16, B09, 1
S16, Trade, 180.775, 330, S16, B19, 1
S16, Trade, 244.175, 319, B07, S16, 1
S16, Trade, 306.950, 310, S16, B11, 1
S16, Trade, 365.500, 315, S16, B10, 1
S16, Trade, 482.550, 313, B09, S16, 1
S16, Trade, 542.975, 324, S16, B12, 1
S17, 5
S17, Trade, 62.525, 325, B15, S17, 1
S17, Trade, 121.475, 352, B13, S17, 1
S17, Trade, 370.175, 331, S17, B11, 1
S17, Trade, 421.575, 342, B09, S17, 1
S17, Trade, 560.950, 338, B11, S17, 1
S18, 5
S18, Trade, 60.075, 373, B19, S18, 1
S18, Trade, 333.975, 319, S18, B06, 1
S18, Trade, 391.550, 312, S18, B05, 1
S18, Trade, 422.375, 340, B16, S18, 1
S18, Trade, 495.150, 315, S18, B19, 1
S19, 8
S19, Trade, 63.425, 326, B07, S19, 1
S19, Trade, 123.450, 330, S19, B10, 1
S19, Trade, 182.775, 325, S19, B17, 1
S19, Trade, 243.300, 320, S19, B18, 1
S19, Trade, 305.150, 310, S19, B09, 1
S19, Trade, 364.975, 310, S19, B17, 1
S19, Trade, 480.975, 322, S19, B10, 1
S19, Trade, 541.825, 329, B10, S19, 1
